focal_method,test_prefix
"  public final boolean isLenient() {
    return lenient;
  }","  public void test39()  throws Throwable  {
      StringReader stringReader0 = new StringReader(""1[Is\""A\""vL&"");
      assertNotNull(stringReader0);
      
      JsonReader jsonReader0 = new JsonReader(stringReader0);
      assertFalse(jsonReader0.isLenient());
      assertNotNull(jsonReader0);
      
      String string0 = jsonReader0.nextString();
      assertEquals(""1"", string0);
      assertFalse(jsonReader0.isLenient());
      assertNotNull(string0);
  }"
"  public final boolean isLenient() {
    return lenient;
  }","  public void test41()  throws Throwable  {
      StringReader stringReader0 = new StringReader(""FALSE"");
      assertNotNull(stringReader0);
      
      JsonReader jsonReader0 = new JsonReader(stringReader0);
      assertFalse(jsonReader0.isLenient());
      assertNotNull(jsonReader0);
      
      boolean boolean0 = jsonReader0.nextBoolean();
      assertFalse(boolean0);
      assertFalse(jsonReader0.isLenient());
  }"
"  public final boolean isLenient() {
    return lenient;
  }","  public void test42()  throws Throwable  {
      StringReader stringReader0 = new StringReader(""NULL"");
      assertNotNull(stringReader0);
      
      JsonReader jsonReader0 = new JsonReader(stringReader0);
      assertFalse(jsonReader0.isLenient());
      assertNotNull(jsonReader0);
      
      JsonToken jsonToken0 = jsonReader0.peek();
      assertEquals(JsonToken.NULL, jsonToken0);
      assertFalse(jsonReader0.isLenient());
      
      jsonReader0.nextNull();
      assertFalse(jsonReader0.isLenient());
  }"
"  public final boolean isLenient() {
    return lenient;
  }","  public void test45()  throws Throwable  {
      StringReader stringReader0 = new StringReader(""1[Is\""A\""vL&"");
      assertNotNull(stringReader0);
      
      JsonReader jsonReader0 = new JsonReader(stringReader0);
      assertFalse(jsonReader0.isLenient());
      assertNotNull(jsonReader0);
      
      double double0 = jsonReader0.nextDouble();
      assertEquals(1.0, double0, 0.01);
      assertFalse(jsonReader0.isLenient());
  }"
"  public final boolean isLenient() {
    return lenient;
  }","  public void test49()  throws Throwable  {
      StringReader stringReader0 = new StringReader(""1[Is\""A\""vL&"");
      assertNotNull(stringReader0);
      
      JsonReader jsonReader0 = new JsonReader(stringReader0);
      assertFalse(jsonReader0.isLenient());
      assertNotNull(jsonReader0);
      
      long long0 = jsonReader0.nextLong();
      assertEquals(1L, long0);
      assertFalse(jsonReader0.isLenient());
  }"
"  public final boolean isLenient() {
    return lenient;
  }","  public void test68()  throws Throwable  {
      StringReader stringReader0 = new StringReader(""1[Is\""A\""vL&"");
      assertNotNull(stringReader0);
      
      JsonReader jsonReader0 = new JsonReader(stringReader0);
      assertFalse(jsonReader0.isLenient());
      assertNotNull(jsonReader0);
      
      jsonReader0.skipValue();
      assertFalse(jsonReader0.isLenient());
  }"
"  public final boolean getSerializeNulls() {
    return serializeNulls;
  }","  public void test18()  throws Throwable  {
      StringWriter stringWriter0 = new StringWriter();
      JsonWriter jsonWriter0 = new JsonWriter(stringWriter0);
      JsonWriter jsonWriter1 = jsonWriter0.jsonValue(""java.lang#Float@0000000003"");
      assertTrue(jsonWriter1.getSerializeNulls());
  }"
"  public final boolean getSerializeNulls() {
    return serializeNulls;
  }","  public void test20()  throws Throwable  {
      StringWriter stringWriter0 = new StringWriter();
      JsonWriter jsonWriter0 = new JsonWriter(stringWriter0);
      JsonWriter jsonWriter1 = jsonWriter0.value(true);
      jsonWriter1.close();
      jsonWriter1.close();
      assertEquals(""true"", stringWriter0.toString());
      assertTrue(jsonWriter0.getSerializeNulls());
  }"
"  public final boolean isLenient() {
    return lenient;
  }","  public void test59()  throws Throwable  {
      StringReader stringReader0 = new StringReader(""464D"");
      assertNotNull(stringReader0);
      
      JsonReader jsonReader0 = new JsonReader(stringReader0);
      assertFalse(jsonReader0.isLenient());
      assertNotNull(jsonReader0);
      
      jsonReader0.setLenient(true);
      assertTrue(jsonReader0.isLenient());
      
      long long0 = jsonReader0.nextLong();
      assertTrue(jsonReader0.isLenient());
      assertEquals(464L, long0);
  }"
"  public final boolean isLenient() {
    return lenient;
  }","  public void test76()  throws Throwable  {
      StringReader stringReader0 = new StringReader(""464D"");
      assertNotNull(stringReader0);
      
      JsonReader jsonReader0 = new JsonReader(stringReader0);
      assertFalse(jsonReader0.isLenient());
      assertNotNull(jsonReader0);
      
      jsonReader0.setLenient(true);
      assertTrue(jsonReader0.isLenient());
      
      int int0 = jsonReader0.nextInt();
      assertTrue(jsonReader0.isLenient());
      assertEquals(464, int0);
      
      jsonReader0.skipValue();
      assertTrue(jsonReader0.isLenient());
  }"
