project,bug_num,test_name,exception_bug,assertion_bug,exception_lbl,assert_err,assertion_lbl
Cli,15,org.apache.commons.cli2.commandline.WriteableCommandLineImpl_ESTest::test12,0,1,0, expected:<2> but was:<1>,"assertEquals(2, list1.size())"
Cli,17,org.apache.commons.cli.PosixParser_ESTest::test3,0,1,0, expected:<3> but was:<21>,"assertEquals(3, stringArray1.length)"
Cli,18,org.apache.commons.cli.PosixParser_ESTest::test4,0,1,0, expected:<2> but was:<1>,"assertEquals(2, stringArray1.length)"
Cli,22,org.apache.commons.cli.PosixParser_ESTest::test4,0,1,0, expected:<5> but was:<6>,"assertEquals(5, stringArray2.length)"
Cli,25,org.apache.commons.cli.HelpFormatter_ESTest::test26,0,1,0, expected:<37> but was:<171>,"assertEquals(37, stringBuffer0.length())"
Cli,29,org.apache.commons.cli.Util_ESTest::test6,0,1,0," expected:<[""]qDxD_5>q,)`dEgM> but was:<[]qDxD_5>q,)`dEgM>","assertEquals(""\""qDxD_5>q,)`dEgM"", string0)"
Cli,29,org.apache.commons.cli.Util_ESTest::test8,0,1,0," expected:<""["" |B_#""]> but was:<""[ |B_#]>","assertEquals(""\""\"" |B_#\"""", string0)"
Cli,31,org.apache.commons.cli.Option_ESTest::test20,0,1,0,assertTrue(Assert.java:41),assertFalse(boolean0)
Cli,34,org.apache.commons.cli.Option_ESTest::test09,0,1,0,assertTrue(Assert.java:41),assertNotNull(object0)
Cli,34,org.apache.commons.cli.Option_ESTest::test34,0,1,0, expected:<[ option:   ::  [:: class java.lang.String ]]> but was:<[ option:   ::  []]>,"assertEquals(""[ option:   ::  :: class java.lang.String ]"", string0)"
Cli,34,org.apache.commons.cli.Option_ESTest::test33,0,1,0, expected:<...4U-w?C*  [ARG] ::  [:: class java.lang.String ]]> but was:<...4U-w?C*  [ARG] ::  []]>,"assertEquals(""[ option:  X84U-w?C*  [ARG] ::  :: class java.lang.String ]"", string0)"
Cli,34,org.apache.commons.cli.Option_ESTest::test23,0,1,0, expected:<...tion:  [ARG...] ::  [:: class java.lang.String ]]> but was:<...tion:  [ARG...] ::  []]>,"assertEquals(""[ option:  [ARG...] ::  :: class java.lang.String ]"", string0)"
Codec,4,org.apache.commons.codec.binary.Base64_ESTest::test37,0,1,0,assertTrue(Assert.java:41),assertFalse(boolean0)
Codec,4,org.apache.commons.codec.binary.Base64_ESTest::test34,0,1,0, expected:<2> but was:<0>,"assertEquals(2, byteArray1.length)"
Codec,11,org.apache.commons.codec.net.QuotedPrintableCodec_ESTest::test05,0,1,0, expected:<166> but was:<153>,"assertEquals(166, byteArray4.length)"
Codec,11,org.apache.commons.codec.net.QuotedPrintableCodec_ESTest::test04,0,1,0, expected:<90> but was:<87>,"assertEquals(90, byteArray3.length)"
Codec,11,org.apache.commons.codec.net.QuotedPrintableCodec_ESTest::test07,0,1,0, expected:<12> but was:<10>,"assertEquals(12, byteArray1.length)"
Codec,11,org.apache.commons.codec.net.QuotedPrintableCodec_ESTest::test06,0,1,0, expected:<80> but was:<75>,"assertEquals(80, byteArray3.length)"
Codec,12,org.apache.commons.codec.binary.BaseNCodecInputStream_ESTest::test10,0,1,0, expected:<0> but was:<-4095>,"assertEquals(0L, long0)"
Codec,12,org.apache.commons.codec.binary.BaseNCodecInputStream_ESTest::test11,0,1,0, expected:<1> but was:<3>,"assertEquals(1, int0)"
Codec,12,org.apache.commons.codec.binary.BaseNCodecInputStream_ESTest::test12,0,1,0, expected:<0> but was:<3>,"assertEquals(0, int0)"
Compress,1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream_ESTest::test06,0,1,0, expected:<[0707020000000000000000000000000000000000000001ffffffff00000000000000000000000000000000000000000000000b00000000TRAILER!!!,"assertEquals(""0707020000000000000000000000000000000000000001ffffffff00000000000000000000000000000000000000000000000b00000000TRAILER!!!\u0000\u0000\u0000\u0000"", byteArrayOutputStream0.toString())"
Compress,1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream_ESTest::test01,0,1,0, expected:<[q�,"assertEquals(""q\uFFFD\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0001\u0000\u0000\uFFFD\uFFFD\uFFFD\uFFFD\u0000\u000B\u0000\u0000\u0000\u0000TRAILER!!!\u0000\u0000"", byteArrayOutputStream0.toString())"
Compress,1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream_ESTest::test21,0,1,0, expected:<[0707010000000000000000000000000000000000000001ffffffff00000000000000000000000000000000000000000000000b00000000TRAILER!!!,"assertEquals(""0707010000000000000000000000000000000000000001ffffffff00000000000000000000000000000000000000000000000b00000000TRAILER!!!\u0000\u0000\u0000\u0000"", byteArrayOutputStream0.toString())"
Compress,1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream_ESTest::test04,0,1,0, expected:<[0707070000000000000000000000000000000000010000007777777777700001300000000000TRAILER!!!,"assertEquals(""0707070000000000000000000000000000000000010000007777777777700001300000000000TRAILER!!!\u0000"", byteArrayOutputStream0.toString())"
Compress,4,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream_ESTest::test10,0,1,0, expected:<0> but was:<38>,"assertEquals(0, byteArrayOutputStream0.size())"
Compress,4,org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream_ESTest::test22,0,1,0, expected:<0> but was:<22>,"assertEquals(0, byteArrayOutputStream0.size())"
Compress,6,org.apache.commons.compress.archivers.zip.ZipArchiveEntry_ESTest::test29,0,1,0,assertTrue(Assert.java:41),assertFalse(boolean0)
Compress,9,org.apache.commons.compress.archivers.tar.TarArchiveOutputStream_ESTest::test07,0,1,0, expected:<10240> but was:<0>,"assertEquals(10240L, tarArchiveOutputStream0.getBytesWritten())"
Compress,34,org.apache.commons.compress.archivers.zip.X7875_NewUnix_ESTest::test04,0,1,0, expected:<0> but was:<7>,"assertEquals(0, zipShort0.getValue())"
Compress,43,org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream_ESTest::test33,0,1,0, expected:<[,"assertEquals(""\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"", byteArrayOutputStream0.toString())"
